Store_ID,SKU_ID,Current_Stock,Avg_Weekly_Demand,Demand_StdDev,Max_Shelf_Capacity,Total_Shelf_Space,Holding_Cost_per_Unit,Stockout_Penalty,Spoilage_Risk
STR001,SKU0054,30,62,13.5,52,902,0.77,3.78,0.26
STR001,SKU0055,5,11,1.41,10,902,0.91,5.04,0.7
STR001,SKU0056,44,93,9.36,99,902,1.05,5.39,0.85
STR001,SKU0057,60,69,10.29,79,902,2.91,5.34,0.52
STR001,SKU0058,30,80,19.27,76,902,2.24,2.72,0.74
STR001,SKU0059,38,53,6.35,49,902,2.2,3.25,0.71
STR001,SKU0060,8,17,4.79,19,902,1.76,5.79,0.8
STR001,SKU0061,37,56,8.01,45,902,1.84,5.09,0.22
STR001,SKU0062,26,44,6.2,43,902,1.23,5.42,0.87
STR001,SKU0063,30,87,11.86,85,902,0.89,4.3,0.81
STR001,SKU0064,54,90,9.25,77,902,2.45,3.88,0.81
STR001,SKU0065,33,45,11.45,43,902,1.68,4.78,0.9
STR001,SKU0066,19,59,16.23,64,902,1.14,4.15,0.65
STR001,SKU0067,14,13,2.9,12,902,2.08,3.81,0.26
STR001,SKU0068,7,11,1.51,10,902,1.02,3.72,0.78
STR001,SKU0069,10,15,2.36,16,902,1.72,3.05,0.29
STR001,SKU0070,49,63,12.3,75,902,0.98,4.35,0.72
STR001,SKU0071,0,13,3.78,14,902,2.4,4.32,0.5
STR001,SKU0072,44,63,9.42,71,902,1.3,4.57,0.2
STR001,SKU0073,83,72,17.74,84,902,1.6,2.91,0.51
STR001,SKU0074,20,27,5.07,30,902,2.39,5.7,0.76
STR001,SKU0075,55,99,15.8,118,902,2.15,5.1,0.26
STR001,SKU0076,20,53,10.13,58,902,1.5,2.96,0.2
STR001,SKU0077,19,43,4.91,45,902,0.68,2.78,0.52
STR001,SKU0078,21,83,21.56,89,902,2.8,4.75,0.2
STR001,SKU0079,38,71,10.55,82,902,0.52,3.7,0.85
STR001,SKU0080,7,23,5.64,24,902,2.34,3.62,0.78
STR001,SKU0081,33,57,6.48,62,902,2.86,5.44,0.64
STR001,SKU0082,15,24,6.98,21,902,1.27,3.71,0.21
STR001,SKU0083,29,81,11.23,94,902,0.69,4.71,0.6
STR001,SKU0084,33,87,24.06,85,902,1.12,4.38,0.67
STR001,SKU0085,43,96,25.14,82,902,1.28,3.42,0.61
STR001,SKU0086,29,71,20.84,79,902,1.63,3.66,0.86
STR001,SKU0087,29,49,9.58,46,902,1.81,5.8,0.78
STR001,SKU0088,59,94,23.08,82,902,2.31,3.66,0.46
STR001,SKU0089,46,89,15.5,80,902,2.75,5.24,0.69
STR001,SKU0090,46,91,12.46,74,902,1.66,5.51,0.52
STR001,SKU0091,36,62,11.69,51,902,2.37,2.75,0.85
STR001,SKU0092,26,33,4.39,34,902,0.82,4.82,0.63
STR001,SKU0093,5,35,10.37,40,902,1.32,5.12,0.61
STR001,SKU0094,72,98,11.69,95,902,0.8,4.02,0.55
STR001,SKU0095,16,69,15.03,72,902,2.23,4.49,0.46
STR001,SKU0096,34,50,11.26,56,902,2.77,3.07,0.3
STR001,SKU0097,31,38,7.89,35,902,2.72,3.61,0.39
STR001,SKU0098,7,24,5.58,25,902,1.32,4.98,0.43
STR001,SKU0099,34,54,6.65,50,902,1.09,4.61,0.31
STR001,SKU0100,28,74,15.61,78,902,1.19,2.98,0.77
STR002,SKU0001,76,98,15.43,86,902,1.22,5.96,0.2
STR002,SKU0002,11,80,23.04,95,902,0.71,5.78,0.84
STR002,SKU0003,6,18,4.54,14,902,0.83,3.28,0.29
STR002,SKU0004,61,97,28.57,97,902,1.04,5.56,0.24
STR002,SKU0005,6,10,1.08,9,902,0.52,3.44,0.9
STR002,SKU0006,10,17,2.67,17,902,0.62,4.47,0.9
STR002,SKU0007,64,97,13.49,94,902,2.25,5.24,0.33
STR002,SKU0008,39,72,7.36,66,902,2.05,3.7,0.29
STR002,SKU0009,8,20,2.97,18,902,2.86,4.44,0.34
STR002,SKU0010,85,90,21.22,78,902,1.5,4.08,0.56
STR002,SKU0011,11,17,2.49,18,902,1.61,5.16,0.42
STR002,SKU0012,22,44,8.88,39,902,0.67,4.18,0.44
STR002,SKU0013,6,44,12.21,48,902,0.88,4.48,0.77
STR002,SKU0014,37,42,10.03,41,902,2.23,5.46,0.82
STR002,SKU0015,11,14,2.5,11,902,1.09,4.95,0.88
STR002,SKU0016,28,50,8.72,43,902,2.43,4.35,0.56
STR002,SKU0017,17,37,7.07,42,902,2.26,4.11,0.37
STR002,SKU0018,9,16,2.17,16,902,2.37,2.94,0.59
STR002,SKU0019,45,82,18.6,71,902,2.23,2.7,0.81
STR002,SKU0020,59,81,14.0,87,902,2.27,5.83,0.22
STR002,SKU0021,6,21,5.68,23,902,1.87,3.15,0.84
STR002,SKU0022,19,43,10.81,40,902,2.2,3.47,0.36
STR002,SKU0023,23,42,9.33,42,902,1.82,4.64,0.42
STR002,SKU0024,36,57,9.85,52,902,1.02,5.4,0.45
STR002,SKU0025,23,32,4.54,26,902,1.04,5.42,0.84
STR002,SKU0026,48,71,18.12,68,902,1.51,5.4,0.32
STR002,SKU0027,91,97,19.14,106,902,0.53,5.92,0.36
STR002,SKU0028,20,46,6.67,45,902,2.72,2.69,0.71
STR002,SKU0029,42,53,7.37,50,902,1.17,3.9,0.85
STR002,SKU0030,44,95,12.64,89,902,0.63,5.7,0.27
STR002,SKU0031,21,44,11.24,43,902,1.56,4.14,0.57
STR002,SKU0032,48,74,10.79,68,902,2.54,5.55,0.84
STR002,SKU0033,47,56,11.5,58,902,1.49,2.56,0.82
STR002,SKU0034,45,87,16.56,71,902,1.16,4.27,0.86
STR002,SKU0035,8,12,2.59,13,902,1.86,5.73,0.83
STR002,SKU0036,5,10,2.75,8,902,1.94,3.41,0.42
STR002,SKU0037,0,14,3.83,14,902,2.4,5.75,0.35
STR002,SKU0038,58,99,18.83,97,902,2.5,2.53,0.83
STR002,SKU0039,10,23,2.37,25,902,2.27,2.78,0.7
STR002,SKU0040,30,36,6.67,40,902,0.51,4.17,0.46
STR002,SKU0041,15,18,3.98,15,902,0.51,2.87,0.7
STR002,SKU0042,37,88,18.62,94,902,2.94,3.29,0.42
STR002,SKU0043,8,24,5.53,21,902,1.16,3.54,0.61
STR002,SKU0044,51,99,12.95,84,902,1.21,4.19,0.36
STR002,SKU0045,36,51,11.69,59,902,2.33,3.87,0.59
STR002,SKU0046,57,86,11.74,74,902,1.95,5.73,0.85
STR002,SKU0047,87,60,15.01,53,902,1.66,5.6,0.74
STR002,SKU0048,39,72,12.08,61,902,0.79,5.12,0.66
STR002,SKU0049,37,61,14.76,60,902,0.7,4.81,0.37
STR002,SKU0050,10,13,1.42,15,902,2.26,3.22,0.24
STR002,SKU0051,20,32,5.81,28,902,0.81,4.61,0.7
STR002,SKU0052,8,24,5.78,24,902,1.59,3.01,0.6
STR002,SKU0053,33,52,7.56,50,902,2.34,4.08,0.35
STR002,SKU0054,29,38,9.84,35,902,2.81,4.12,0.85
STR002,SKU0055,23,45,10.18,46,902,2.68,4.91,0.59
STR002,SKU0056,17,22,4.79,22,902,2.66,5.42,0.6
STR002,SKU0057,29,41,7.0,38,902,1.4,3.62,0.41
STR002,SKU0058,40,80,15.72,91,902,2.82,2.64,0.82
STR002,SKU0059,63,68,14.92,55,902,2.21,2.66,0.82
STR002,SKU0060,42,95,18.48,79,902,2.72,5.56,0.7
STR002,SKU0061,26,37,8.87,44,902,0.72,4.2,0.27
STR002,SKU0062,36,75,14.01,82,902,0.6,3.37,0.26
STR002,SKU0063,18,51,7.16,57,902,1.57,2.61,0.53
STR002,SKU0064,35,54,7.71,56,902,2.57,4.35,0.3
STR002,SKU0065,56,71,7.18,68,902,1.52,2.98,0.43
STR002,SKU0066,39,66,10.57,69,902,2.71,3.96,0.32
STR002,SKU0067,3,15,3.75,12,902,1.09,4.31,0.42
STR002,SKU0068,24,37,9.58,40,902,0.6,3.3,0.86
STR002,SKU0069,17,37,5.2,37,902,2.4,3.2,0.73
STR002,SKU0070,48,53,15.47,62,902,2.07,2.57,0.3
STR002,SKU0071,51,93,18.64,98,902,1.6,4.55,0.67
STR002,SKU0072,3,39,11.05,33,902,2.61,3.2,0.22
STR002,SKU0073,51,71,17.14,70,902,2.56,5.57,0.89
STR002,SKU0074,54,84,20.54,69,902,1.31,4.61,0.57
STR002,SKU0075,55,98,11.47,107,902,2.59,4.45,0.55
STR002,SKU0076,31,71,10.22,71,902,1.36,4.27,0.37
STR002,SKU0077,7,10,1.02,9,902,2.05,3.25,0.52
STR002,SKU0078,17,36,8.76,42,902,0.98,5.89,0.57
STR002,SKU0079,53,71,11.99,83,902,1.16,5.88,0.66
STR002,SKU0080,41,86,22.13,101,902,1.62,3.62,0.23
STR002,SKU0081,8,12,2.01,10,902,1.29,5.22,0.44
STR002,SKU0082,48,79,20.85,86,902,0.82,2.92,0.47
STR002,SKU0083,48,81,10.22,95,902,1.71,5.23,0.3
STR002,SKU0084,17,36,4.85,37,902,1.78,3.5,0.37
STR002,SKU0085,12,18,3.03,15,902,0.9,3.51,0.37
STR002,SKU0086,60,71,12.9,80,902,0.94,4.28,0.77
STR002,SKU0087,19,46,7.81,52,902,0.57,3.87,0.68
STR002,SKU0088,23,60,15.16,64,902,0.58,2.91,0.85
STR002,SKU0089,50,53,6.33,48,902,1.4,4.58,0.42
STR002,SKU0090,14,33,5.62,28,902,0.87,3.25,0.82
STR002,SKU0091,39,88,23.54,92,902,2.8,4.06,0.8
STR002,SKU0092,51,68,7.71,67,902,1.0,3.31,0.51
STR002,SKU0093,41,41,11.83,43,902,0.66,5.5,0.64
STR002,SKU0094,0,97,28.83,81,902,1.51,3.68,0.62
STR002,SKU0095,42,61,7.18,52,902,0.98,5.61,0.42
STR002,SKU0096,40,71,11.24,67,902,0.65,3.64,0.38
STR002,SKU0097,38,67,11.69,60,902,2.38,3.13,0.32
STR002,SKU0098,54,61,15.57,63,902,1.89,4.52,0.79
STR002,SKU0099,10,21,4.6,19,902,0.64,4.44,0.57
STR002,SKU0100,23,48,10.99,51,902,1.67,4.67,0.44
STR003,SKU0001,5,11,2.77,12,902,0.6,3.56,0.56
STR003,SKU0002,6,12,1.48,10,902,1.39,3.62,0.26
STR003,SKU0003,45,65,17.33,75,902,1.41,3.33,0.27
STR003,SKU0004,82,90,21.7,100,902,2.56,5.75,0.73
STR003,SKU0005,47,68,14.65,71,902,2.34,4.89,0.83
STR003,SKU0006,6,11,3.06,12,902,2.74,5.15,0.42
STR003,SKU0007,8,11,2.64,9,902,0.85,3.18,0.49
STR003,SKU0008,44,63,8.84,61,902,1.83,4.82,0.46
STR003,SKU0009,67,96,17.85,80,902,0.55,5.17,0.54
STR003,SKU0010,4,10,1.99,9,902,2.56,3.7,0.49
STR003,SKU0011,18,28,3.11,28,902,1.42,3.05,0.47
STR003,SKU0012,0,11,3.2,11,902,0.67,4.94,0.66
STR003,SKU0013,49,62,7.79,51,902,1.31,4.64,0.39
STR003,SKU0014,51,53,12.69,43,902,1.22,4.51,0.86
STR003,SKU0015,77,99,19.92,95,902,2.42,3.14,0.42
STR003,SKU0016,29,41,4.31,35,902,0.82,3.42,0.35
STR003,SKU0017,45,79,22.51,87,902,1.89,4.69,0.88
STR003,SKU0018,16,41,11.09,43,902,2.48,4.65,0.36
STR003,SKU0019,26,77,15.77,71,902,2.35,4.44,0.58
STR003,SKU0020,47,64,9.33,52,902,2.84,5.19,0.43
STR003,SKU0021,42,84,10.44,73,902,0.5,5.35,0.25
STR003,SKU0022,34,65,11.22,69,902,1.38,3.47,0.87
STR003,SKU0023,16,26,3.93,31,902,1.42,3.05,0.46
STR003,SKU0024,27,47,9.46,43,902,0.58,3.2,0.65
STR003,SKU0025,22,33,9.68,36,902,2.54,3.48,0.8
STR003,SKU0026,16,78,16.77,89,902,2.22,5.82,0.59
STR003,SKU0027,42,79,21.96,64,902,1.82,2.98,0.7
STR003,SKU0028,75,95,21.87,110,902,1.51,5.58,0.75
STR003,SKU0029,10,20,3.9,19,902,2.74,3.21,0.47
STR003,SKU0030,9,25,6.77,29,902,1.16,3.72,0.64
STR003,SKU0031,64,82,15.93,83,902,1.34,2.94,0.34
STR003,SKU0032,32,68,18.61,60,902,2.88,2.86,0.24
STR003,SKU0033,49,79,12.51,93,902,0.66,2.83,0.89
STR003,SKU0034,51,89,11.19,79,902,2.45,3.7,0.26
STR003,SKU0035,7,12,3.25,13,902,2.3,4.33,0.5
STR003,SKU0036,27,29,6.31,25,902,2.75,3.2,0.25
STR003,SKU0037,51,68,18.89,72,902,0.73,5.76,0.85
STR003,SKU0038,11,45,12.94,43,902,2.93,4.55,0.28
STR003,SKU0039,15,28,3.1,33,902,0.57,5.6,0.75
STR003,SKU0040,51,99,19.82,86,902,1.34,3.02,0.7
STR003,SKU0041,48,76,13.3,73,902,0.71,3.0,0.23
STR003,SKU0042,22,28,6.3,29,902,0.63,5.46,0.7
STR003,SKU0043,17,29,7.5,34,902,2.91,4.49,0.88
STR003,SKU0044,48,80,12.49,73,902,2.3,5.79,0.56
STR003,SKU0045,7,61,12.89,58,902,1.76,3.01,0.4
STR003,SKU0046,38,42,10.15,41,902,0.77,2.59,0.58
STR003,SKU0047,28,49,6.22,44,902,1.82,5.71,0.28
STR003,SKU0048,32,48,12.62,54,902,1.3,4.95,0.87
STR003,SKU0049,59,91,20.13,76,902,1.18,5.33,0.46
STR003,SKU0050,3,10,2.9,10,902,2.05,3.54,0.52
STR003,SKU0051,11,20,3.36,20,902,2.48,2.51,0.48
STR003,SKU0052,33,66,8.03,59,902,1.61,4.19,0.22
STR003,SKU0053,86,98,19.73,97,902,1.73,5.97,0.22
STR003,SKU0054,20,59,6.91,66,902,2.13,5.68,0.59
STR003,SKU0055,10,32,9.4,31,902,0.81,2.75,0.55
STR003,SKU0056,22,40,4.31,33,902,2.57,3.16,0.89
STR003,SKU0057,49,51,12.79,41,902,2.59,3.59,0.38
STR003,SKU0058,11,16,3.28,17,902,1.85,5.41,0.46
STR003,SKU0059,7,25,4.34,23,902,0.97,5.39,0.89
STR003,SKU0060,58,99,11.2,116,902,1.75,3.15,0.23
STR003,SKU0061,52,69,15.49,72,902,0.76,4.37,0.65
STR003,SKU0062,11,11,2.39,10,902,2.41,4.26,0.27
STR003,SKU0063,5,10,1.56,10,902,1.28,3.95,0.86
STR003,SKU0064,15,57,16.08,56,902,1.28,4.38,0.4
STR003,SKU0065,13,21,3.38,24,902,2.86,3.52,0.77
STR003,SKU0066,46,78,14.82,76,902,1.55,4.36,0.84
STR003,SKU0067,32,46,9.6,38,902,2.47,4.9,0.79
STR003,SKU0068,27,41,4.92,42,902,2.09,2.72,0.59
STR003,SKU0069,12,18,5.16,18,902,1.29,5.89,0.88
STR003,SKU0070,19,28,4.9,30,902,0.81,3.08,0.67
STR003,SKU0071,45,57,6.62,66,902,2.49,3.76,0.75
STR003,SKU0072,48,89,15.79,86,902,2.41,4.15,0.37
STR003,SKU0073,3,12,2.64,11,902,0.92,2.64,0.49
STR003,SKU0074,19,29,5.88,28,902,1.12,4.42,0.62
STR003,SKU0075,9,33,7.88,38,902,2.42,5.54,0.3
STR003,SKU0076,29,63,7.0,75,902,2.96,5.65,0.88
STR003,SKU0077,19,42,6.59,49,902,2.61,3.64,0.28
STR003,SKU0078,8,33,8.71,29,902,2.21,4.46,0.71
STR003,SKU0079,61,84,9.74,83,902,2.79,5.22,0.24
STR003,SKU0080,49,81,21.96,73,902,1.21,3.38,0.27
STR003,SKU0081,30,45,5.33,42,902,0.52,4.35,0.64
STR003,SKU0082,34,47,12.54,38,902,1.3,3.78,0.52
STR003,SKU0083,52,93,16.01,80,902,2.93,3.82,0.2
STR003,SKU0084,79,98,21.8,93,902,2.7,2.83,0.48
STR003,SKU0085,18,34,4.44,32,902,0.63,3.92,0.38
STR003,SKU0086,15,27,3.06,24,902,1.75,3.06,0.81
STR003,SKU0087,45,91,13.03,81,902,0.7,3.55,0.7
STR003,SKU0088,58,75,9.42,82,902,2.47,3.66,0.72
STR003,SKU0089,36,63,10.24,57,902,1.43,4.01,0.87
STR003,SKU0090,31,44,8.93,47,902,2.78,5.71,0.7
STR003,SKU0091,42,89,19.38,84,902,0.64,4.71,0.31
STR003,SKU0092,57,70,18.06,78,902,2.33,5.91,0.86
STR003,SKU0093,38,50,11.56,43,902,1.5,4.57,0.28
STR003,SKU0094,10,42,9.31,36,902,1.17,5.32,0.33
STR003,SKU0095,46,77,14.04,82,902,1.79,5.42,0.4
STR003,SKU0096,26,42,8.18,48,902,1.71,5.09,0.32
STR003,SKU0097,12,23,4.21,19,902,1.37,4.84,0.21
STR003,SKU0098,29,30,8.05,24,902,2.12,3.96,0.52
STR003,SKU0099,24,57,8.32,66,902,2.15,4.49,0.68
STR003,SKU0100,16,29,2.93,24,902,0.69,3.18,0.49
STR004,SKU0001,6,17,3.91,15,902,1.99,4.66,0.36
STR004,SKU0002,11,16,2.25,18,902,2.28,4.3,0.82
STR004,SKU0003,23,76,21.13,85,902,0.69,5.32,0.47
STR004,SKU0004,2,26,7.07,24,902,2.15,5.66,0.79
STR004,SKU0005,27,42,4.84,49,902,2.51,2.96,0.32
STR004,SKU0006,33,57,6.91,58,902,2.58,4.92,0.43
STR004,SKU0007,68,85,16.92,70,902,0.6,5.83,0.76
STR004,SKU0008,53,68,15.09,73,902,2.24,5.71,0.22
STR004,SKU0009,56,95,14.72,96,902,2.49,5.42,0.84
STR004,SKU0010,7,31,7.54,31,902,1.49,2.67,0.48
STR004,SKU0011,13,39,8.54,46,902,1.86,3.38,0.88
STR004,SKU0012,14,47,7.75,40,902,1.16,3.02,0.69
STR004,SKU0013,35,60,6.3,63,902,1.28,5.74,0.86
STR004,SKU0014,27,63,15.75,61,902,1.75,5.12,0.25
STR004,SKU0015,9,17,2.43,15,902,0.88,4.36,0.71
STR004,SKU0016,23,36,9.61,38,902,1.43,5.93,0.81
STR004,SKU0017,34,36,6.63,38,902,1.25,3.18,0.89
STR004,SKU0018,21,30,6.46,34,902,1.1,4.75,0.22
STR004,SKU0019,24,39,10.71,44,902,1.71,4.63,0.26
STR004,SKU0020,6,37,10.09,37,902,2.6,3.69,0.71
STR004,SKU0021,44,73,12.72,67,902,1.11,4.2,0.23
STR004,SKU0022,56,78,11.06,78,902,2.15,3.32,0.21
STR004,SKU0023,48,70,17.85,66,902,1.14,4.87,0.58
STR004,SKU0024,23,57,10.64,51,902,0.86,3.96,0.57
STR004,SKU0025,15,28,3.88,28,902,2.86,2.58,0.63
STR004,SKU0026,8,13,3.65,13,902,2.08,5.83,0.21
STR004,SKU0027,23,44,6.14,45,902,0.76,4.25,0.55
STR004,SKU0028,39,73,7.68,86,902,2.08,4.97,0.4
STR004,SKU0029,21,58,6.04,53,902,0.94,3.19,0.73
STR004,SKU0030,11,26,5.84,24,902,2.72,2.95,0.44
STR004,SKU0031,34,53,12.31,56,902,1.12,5.66,0.45
STR004,SKU0032,28,39,6.33,40,902,2.52,4.57,0.66
STR004,SKU0033,33,55,9.02,44,902,1.0,4.23,0.66
STR004,SKU0034,11,15,2.52,13,902,1.9,4.32,0.24
STR004,SKU0035,26,46,10.86,41,902,2.78,3.33,0.64
STR004,SKU0036,16,33,3.68,37,902,1.24,5.69,0.66
STR004,SKU0037,25,55,15.72,63,902,0.7,3.25,0.52
STR004,SKU0038,41,62,8.96,56,902,1.88,3.05,0.78
STR004,SKU0039,35,69,20.7,58,902,0.93,5.76,0.21
STR004,SKU0040,36,72,9.67,63,902,2.32,3.4,0.88
STR004,SKU0041,19,94,23.91,81,902,1.98,5.52,0.46
STR004,SKU0042,19,41,5.93,36,902,1.37,5.2,0.62
STR004,SKU0043,53,96,11.15,85,902,2.26,3.84,0.22
STR004,SKU0044,18,42,11.55,41,902,1.1,3.39,0.7
STR004,SKU0045,25,76,20.65,70,902,2.79,5.16,0.58
STR004,SKU0046,23,27,4.88,27,902,1.37,4.59,0.87
STR004,SKU0047,25,34,8.18,31,902,2.41,3.39,0.5
STR004,SKU0048,66,63,13.32,70,902,1.15,5.62,0.71
STR004,SKU0049,11,67,18.13,79,902,2.29,5.02,0.25
STR004,SKU0050,49,76,12.39,73,902,0.58,5.68,0.25
STR004,SKU0051,28,55,11.26,45,902,1.24,4.03,0.86
STR004,SKU0052,19,33,6.5,29,902,0.73,2.95,0.38
STR004,SKU0053,37,41,7.0,34,902,1.63,5.73,0.84
STR004,SKU0054,6,56,15.58,52,902,1.59,4.6,0.26
STR004,SKU0055,49,95,12.65,100,902,1.4,4.62,0.65
STR004,SKU0056,16,32,4.16,32,902,2.95,4.54,0.59
STR004,SKU0057,35,75,16.15,67,902,1.11,4.15,0.88
STR004,SKU0058,4,36,8.33,39,902,2.48,3.39,0.48
STR004,SKU0059,8,11,1.53,9,902,1.62,4.65,0.23
STR004,SKU0060,82,99,17.64,88,902,1.34,5.02,0.53
STR004,SKU0061,19,26,7.52,27,902,1.01,5.71,0.78
STR004,SKU0062,16,42,6.27,36,902,2.08,2.75,0.24
STR004,SKU0063,11,18,4.21,19,902,1.33,3.39,0.23
STR004,SKU0064,42,52,12.9,61,902,2.53,5.22,0.78
STR004,SKU0065,38,57,10.81,64,902,2.92,5.21,0.78
STR004,SKU0066,28,48,13.8,41,902,1.07,3.24,0.34
STR004,SKU0067,48,51,12.61,51,902,0.82,3.15,0.66
STR004,SKU0068,16,35,6.71,33,902,1.29,3.78,0.24
STR004,SKU0069,33,59,12.62,70,902,1.67,2.72,0.74
STR004,SKU0070,25,34,8.11,40,902,1.25,5.06,0.41
STR004,SKU0071,22,33,7.21,28,902,2.93,4.84,0.36
STR004,SKU0072,16,22,6.07,25,902,2.45,5.51,0.67
STR004,SKU0073,47,69,11.83,60,902,2.92,4.01,0.84
STR004,SKU0074,10,16,2.56,14,902,1.43,4.73,0.23
STR004,SKU0075,36,66,9.42,62,902,1.26,5.84,0.3
STR004,SKU0076,23,45,4.84,41,902,1.52,5.86,0.38
STR004,SKU0077,33,54,5.86,61,902,1.81,2.75,0.85
STR004,SKU0078,29,29,7.95,27,902,2.35,2.51,0.81
STR004,SKU0079,43,74,17.44,83,902,2.7,5.86,0.84
STR004,SKU0080,12,17,3.95,20,902,1.66,4.37,0.46
STR004,SKU0081,15,25,5.57,28,902,1.22,4.95,0.36
STR004,SKU0082,26,23,6.21,21,902,1.3,5.69,0.33
STR004,SKU0083,48,85,16.66,92,902,2.24,4.02,0.82
STR004,SKU0084,73,96,26.31,97,902,1.92,4.04,0.36
STR004,SKU0085,11,24,4.13,26,902,1.72,3.08,0.57
STR004,SKU0086,21,75,21.4,64,902,1.01,5.67,0.43
STR004,SKU0087,24,41,9.83,43,902,2.69,4.77,0.55
STR004,SKU0088,74,96,14.54,106,902,2.45,3.13,0.44
STR004,SKU0089,52,72,15.32,79,902,0.85,4.46,0.41
STR004,SKU0090,16,95,19.63,112,902,1.42,3.65,0.5
STR004,SKU0091,41,60,7.65,49,902,1.86,3.02,0.43
STR004,SKU0092,9,34,7.42,31,902,1.64,3.14,0.79
STR004,SKU0093,49,67,10.92,66,902,1.49,4.46,0.61
STR004,SKU0094,47,72,7.95,66,902,2.3,4.48,0.32
STR004,SKU0095,39,71,20.57,65,902,0.64,5.26,0.37
STR004,SKU0096,23,31,7.08,26,902,1.68,3.37,0.24
STR004,SKU0097,35,67,18.45,75,902,1.16,5.71,0.41
STR004,SKU0098,42,67,15.76,77,902,0.71,4.32,0.67
STR004,SKU0099,33,95,16.28,79,902,1.66,3.21,0.33
STR004,SKU0100,31,58,11.75,49,902,0.93,3.95,0.27
STR005,SKU0001,49,61,14.34,54,902,1.15,5.73,0.42
STR005,SKU0002,10,51,14.89,51,902,1.77,4.17,0.63
STR005,SKU0003,57,79,11.91,88,902,2.93,5.56,0.53
STR005,SKU0004,1,24,6.6,19,902,2.21,3.06,0.43
STR005,SKU0005,16,63,17.94,66,902,1.2,5.7,0.82
